gen:0{ accuracy:[61.13, 57.16, 71.08, 49.46, 52.21, 45.99, 66.56, 24.61, 70.67, 66.6, 58.23, 50.94, 60.64, 66.57, 57.82, 43.38, 66.39, 35.14, 64.41, 29.12, 49.79, 51.89, 44.01, 53.6, 69.37, 56.3, 59.8, 47.95, 44.89, 41.08, 46.29, 51.87, 50.29, 63.26, 34.43, 41.4, 61.0, 54.29, 34.35, 46.06, 47.99, 65.96, 46.38, 67.53, 61.04, 46.85, 40.02, 51.61, 70.04, 35.24, 32.72, 51.65, 37.38, 64.72, 40.98, 39.54, 48.9, 65.95, 66.21, 60.82, 38.0, 57.66, 39.38, 24.63, 63.71, 39.73, 53.03, 66.8, 58.02, 63.34, 42.93, 46.77, 43.33, 10.0, 63.54]}
gen:1{ accuracy:[28.86, 56.95, 49.3, 53.77, 33.41, 66.41, 69.42, 31.52, 67.06, 66.37, 68.23, 42.89, 67.46, 25.21, 53.24, 67.16, 41.64, 60.16, 64.53, 49.16, 34.97, 43.07, 64.33, 69.71, 44.87, 42.53, 18.3, 48.61, 61.15, 52.51, 58.17, 66.09, 52.43, 59.94, 60.04, 59.71, 59.46, 41.46, 44.26, 67.94, 62.34, 38.84, 68.53, 66.75, 50.25, 71.47, 63.67, 64.56, 44.61, 54.92, 45.92, 44.16, 58.27, 53.49, 35.58, 10.0, 52.11, 33.12, 48.93, 69.43, 67.76, 49.47, 16.42, 68.48, 67.15, 63.89, 48.13, 64.54, 67.18, 16.31, 66.42, 32.57, 67.69, 66.67, 54.42]}
gen:2{ accuracy:[62.21, 64.72, 43.71, 18.0, 52.38, 67.85, 66.39, 51.5, 64.57, 72.07, 65.46, 66.27, 38.53, 31.79, 69.5, 65.35, 62.05, 46.19, 52.95, 17.4, 70.88, 66.29, 55.83, 62.57, 61.87, 48.3, 62.3, 65.54, 65.96, 57.62, 44.09, 45.48, 67.26, 72.81, 40.41, 62.25, 61.29, 65.29, 62.53, 57.94, 51.95, 17.5, 56.45, 62.0, 32.86, 65.98, 66.89, 52.04, 67.77, 66.53, 38.71, 65.24, 56.28, 39.22, 29.94, 32.22, 60.97, 67.52, 66.51, 60.31, 62.83, 55.59, 17.46, 53.93, 65.73, 51.81, 54.19, 17.26, 65.78, 28.84, 62.39, 53.95, 52.32, 54.73, 52.51]}
gen:3{ accuracy:[50.77, 65.82, 70.11, 62.24, 61.14, 61.79, 53.37, 65.16, 61.19, 66.89, 57.3, 59.96, 29.37, 52.71, 57.93, 63.07, 46.75, 42.58, 10.0, 65.44, 53.05, 46.42, 62.79, 48.17, 45.19, 57.65, 61.34, 62.2, 69.26, 10.0, 35.04, 60.18, 66.82, 49.09, 61.38, 52.94, 10.0, 10.0, 58.87, 46.66, 50.35, 65.73, 14.26, 31.15, 66.61, 68.27, 55.89, 66.39, 64.36, 63.41, 54.01, 21.3, 41.02, 54.37, 67.96, 59.61, 58.13, 48.74, 67.08, 54.56, 43.16, 57.12, 63.56, 73.79, 45.31, 68.19, 10.0, 45.5, 59.15, 65.35, 64.85, 53.08, 66.99, 60.0, 52.82]}
gen:4{ accuracy:[10.0, 30.05, 10.0, 55.78, 39.27, 51.81, 15.48, 63.68, 60.09, 64.69, 39.24, 66.41, 23.19, 66.71, 49.52, 48.16, 10.0, 57.23, 57.34, 60.84, 60.17, 57.17, 44.09, 63.22, 59.9, 60.84, 22.83, 62.11, 58.43, 59.62, 72.28, 66.54, 60.0, 27.25, 51.86, 28.4, 59.82, 42.29, 59.99, 36.89, 61.9, 31.08, 31.98, 56.49, 10.0, 65.29, 64.36, 60.54, 56.89, 66.05, 66.82, 66.12, 62.03, 63.24, 62.94, 67.02, 63.38, 53.84, 46.64, 64.39, 39.49, 62.9, 62.04, 65.69, 56.63, 60.61, 23.97, 62.5, 44.39, 56.55, 45.12, 51.52, 58.52, 40.5, 68.48]}
gen:5{ accuracy:[59.87, 48.39, 52.92, 49.32, 10.04, 46.81, 57.22, 56.3, 47.47, 45.37, 61.17, 63.94, 66.95, 50.66, 66.65, 44.07, 70.52, 38.2, 66.96, 62.64, 47.84, 59.26, 10.0, 60.17, 53.58, 46.25, 50.09, 68.57, 68.74, 61.96, 63.21, 65.92, 10.0, 49.83, 65.48, 21.82, 28.75, 50.1, 55.95, 57.3, 46.64, 48.52, 62.45, 61.56, 70.09, 66.56, 63.99, 53.81, 65.21, 62.49, 10.0, 62.46, 35.16, 56.07, 66.02, 50.62, 67.24, 65.18, 68.32, 47.41, 69.86, 47.93, 15.87, 49.72, 50.91, 63.9, 61.32, 69.32, 66.98, 64.97, 64.21, 49.71, 52.65, 62.44, 60.65]}
gen:6{ accuracy:[68.83, 54.76, 66.57, 69.08, 60.95, 46.25, 69.85, 64.64, 64.79, 66.57, 64.95, 65.52, 67.44, 65.17, 68.04, 53.92, 60.4, 67.68, 64.92, 66.8, 67.2, 68.86, 61.5, 65.71, 63.53, 60.66, 63.04, 56.67, 68.37, 66.04, 66.01, 64.82, 60.2, 65.8, 68.58, 64.6, 63.6, 57.42, 65.61, 67.25, 66.31, 67.36, 67.96, 65.5, 69.95, 67.43, 67.91, 69.05, 65.32, 52.95, 66.52, 65.98, 54.54, 60.41, 65.01, 65.36, 58.68, 66.17, 58.72, 50.72, 63.31, 65.51, 69.65, 59.79, 68.55, 67.63, 52.04, 67.19, 65.33, 63.37, 64.04, 64.93, 68.58, 44.67, 65.21]}
gen:7{ accuracy:[70.53, 59.95, 67.28, 25.63, 64.85, 69.17, 48.96, 26.5, 68.27, 48.63, 69.32, 69.37, 64.61, 23.61, 43.54, 26.04, 62.89, 66.42, 70.08, 47.39, 70.41, 10.0, 65.15, 22.16, 18.16, 69.3, 10.0, 71.39, 69.58, 64.86, 39.2, 46.97, 65.26, 35.38, 69.75, 68.46, 67.6, 48.45, 43.97, 69.15, 47.81, 59.4, 49.11, 68.0, 54.87, 64.7, 62.39, 10.0, 50.71, 57.26, 57.79, 61.94, 64.45, 61.69, 63.31, 61.69, 49.79, 60.14, 21.77, 17.37, 65.03, 66.76, 20.67, 37.85, 70.17, 23.61, 65.19, 69.08, 70.54, 69.92, 64.69, 27.22, 51.08, 68.38, 67.78]}
gen:8{ accuracy:[49.86, 54.77, 63.12, 66.41, 61.79, 47.3, 46.88, 67.78, 69.78, 68.46, 69.92, 67.55, 68.79, 68.55, 66.97, 66.54, 51.82, 51.15, 52.86, 46.27, 64.55, 67.75, 41.11, 68.24, 47.34, 66.11, 67.74, 34.98, 68.43, 57.27, 55.48, 46.17, 66.38, 64.58, 51.69, 65.23, 44.53, 57.41, 60.72, 70.76, 52.56, 66.4, 45.23, 43.83, 52.24, 68.04, 53.62, 64.64, 10.0, 42.98, 68.67, 64.35, 58.26, 51.71, 62.31, 56.43, 47.42, 68.18, 37.17, 63.85, 69.31, 70.66, 58.76, 47.15, 66.65, 69.46, 47.47, 55.69, 69.48, 50.55, 67.63, 42.03, 57.58, 67.41, 40.39]}
gen:9{ accuracy:[64.98, 66.48, 47.81, 36.79, 69.78, 69.79, 67.76, 44.03, 50.85, 70.26, 18.69, 67.03, 69.1, 58.92, 66.24, 67.23, 67.88, 48.51, 68.29, 68.65, 65.39, 47.52, 66.07, 48.02, 68.1, 35.23, 69.6, 67.76, 10.0, 66.45, 17.9, 68.06, 52.42, 57.24, 49.13, 32.98, 64.27, 69.44, 66.84, 10.0, 65.57, 66.84, 70.66, 65.96, 66.77, 53.33, 61.47, 67.05, 16.31, 66.08, 68.26, 66.39, 40.14, 68.8, 51.25, 16.79, 67.66, 66.95, 64.87, 63.83, 68.88, 70.02, 68.46, 66.79, 47.55, 66.97, 66.49, 65.9, 67.21, 48.7, 69.5, 67.4, 61.32, 49.11, 39.86]}
